"","Rank","Title","Comments","Points","Submitter","Time"
"1","1.","Master controller of aging and development uncovered (longevity.technology)","19 comments","52 points","birriel","1 hour ago"
"2","2.","How to Come Back Stronger from Organizational Trauma (sloanreview.mit.edu)","1 comment","6 points","doener","7 minutes ago"
"3","3.","Linksys Velop routers send Wi-Fi passwords in plaintext to US servers (stackdiary.com)","124 comments","293 points","skilled","4 hours ago"
"4","4.","Scoped Propagators (orionreed.com)","17 comments","70 points","cdata","5 hours ago"
"5","5.","Newpipe/yt-dlp stops working (github.com/teamnewpipe)","69 comments","87 points","nurettin","1 hour ago"
"6","6.","Ask HN: How Do Browsers Isolate Internal Audio from Microphone Input?","40 comments","82 points","dumbest","3 hours ago"
"7","7.","Circos – Circular Visualization (circos.ca)","7 comments","54 points","smartmic","7 hours ago"
"8","8.","Tim Doucette, a blind astronomer who built the Deep Sky Eye Observatory (amiplus.ca)","4 comments","27 points","noyesno","4 hours ago"
"9","9.","Dynamic translation of Smalltalk to WebAssembly (thiscontext.com)","16 comments","95 points","lioeters","9 hours ago"
"10","10.","turbopuffer: Fast Search on Object Storage (turbopuffer.com)","1 comment","59 points","Sirupsen","5 hours ago"
"11","11.","Meticulous (YC S21) is hiring to eliminate E2E tests","1 comment","18 points","tmoertel","3 hours ago"
"12","12.","Google One 'Dark web reports' coming to all Google Account holders in late July (9to5google.com)","234 comments","450 points","oumua_don17","49 minutes ago"
"13","13.","PySkyWiFi: Free stupid wi-fi on long-haul flights (robertheaton.com)","26 comments","150 points","tosh","8 hours ago"
"14","14.","MobileLLM: Optimizing Sub-Billion Parameter Language Models for On-Device Use (github.com/facebookresearch)","18 comments","29 points","bpedro","8 hours ago"
"15","15.","Deactivating an API, one step at a time (apichangelog.substack.com)","76 comments","90 points","fanf2","5 hours ago"
"16","16.","Don't use 7-segment displays [pdf] (thimbleby.net)","48 comments","152 points","jancurn","2 hours ago"
"17","17.","Show HN: Crawlee for Python – a web scraping and browser automation library (crawlee.dev)","16 comments","98 points","fanf2","11 hours ago"
